file_name	sentiment	intensity	reason
boston_fake_03	positive	2	图片文件名为“boston_fake_03.jpg”，暗示其内容可能是虚构或模仿真实新闻的图像。缺乏具体的文字描述和情感词汇，可能导致中性情感表达。
boston_fake_04	positive	1	文本明确提到了“fake”，并且可能是在提醒图片是假的。这表明内容可能存在虚假性。此外，标题直接使用了“fake”一词，这是判断假新闻的重要线索之一。
boston_fake_06	negative	4	图片中的文字内容使用了“Boston 的虚假信息”这样的夸张表述，并配以小孩冷漠的表情和动作，整体语气带有讽刺和轻蔑的情绪，表达出对“虚假信息”的不满和不认同。
boston_fake_07	positive	4	**
boston_fake_08	neutral	2	图片文件名和内容都暗示了合成性，使用了“fake”这样的词语，这可能意味着作者希望通过这种方式引起读者的怀疑或产生兴趣。但由于缺乏详细的信息和具体的事实，这种情感表达在整体上是中性的。
boston_fake_09	positive	2	图片名为 "boston_fake_09.jpg"，其中包含"fake"，暗示了虚假性，带有明显的负面情绪词汇和表达方式。
boston_fake_11	positive	2	文本描述的内容涉及“假球案”，使用了贬义词汇和暗示信息不真实的情感词汇，表达了对事件的负面看法。
boston_fake_12	positive	2	图片内容主要描述了合成照片的出现，没有明显的情感表达，更多的是陈述事实。
boston_fake_13	negative	5	图片内容标题和文字说明均明确指出“Fake news”，使用了强烈的否定词汇，表达了明显的负面情绪。
boston_fake_14	negative	2	图片名为boston_fake_14.jpg，通常与虚假信息相关联，但文本内容未知。可能包含夸张或误导性描述。
boston_fake_15	positive	3	图片中没有明显的文字或表情符号来表达情感，难以判断具体内容是否积极或消极。
boston_fake_17	positive	4	文本描述了 Boston 受到一系列网络攻击，导致 significant disruption, 包括 widespread power outages 和 internet service disruptions. 使用的词汇如 series of cyberattacks 和 significant disruption 显示了负面情绪。
boston_fake_18	positive	2	图片中的场景显示一个人在雨天站在高楼旁，没有明显的情绪表达，显得平静自然。
boston_fake_19	negative	4	文中使用了许多与恐怖袭击相关的负面词汇，描述事件严重且可能造成重大损失，这种极端的情绪表达在实际情况中并不常见，尤其是如果图片显示的是破坏后的景象或带有警示符号的话。
boston_fake_21	negative	5	图片标题和描述中使用了大量负面词汇如“Fake”，并结合形容词“cheerful”等进行贬义修饰，整体情感倾向消极且强烈。
boston_fake_22	negative	4	图片标题和内容直接指出了“Fake News”，带有强烈的负面情绪，视觉效果可能强化了这一主题的负面性质。
boston_fake_23	positive	2	假设图片中显示的是一个破坏性的场景或负面的情绪表达，例如“火灾”、“破坏”等词汇，这可能显示出明显的负面情绪，情感强度适中。
boston_fake_24	neutral	1	图片内容为虚构的城市场景，没有明显的情感词汇或情绪表达。
boston_fake_25	negative	4	图片标题为“Boston Fake 25”，使用了明显的讽刺语气，暗示虚假信息。副标题直接询问真假，正文提到“fake news”进一步强化了内容的虚假性。情感词汇如“Fake”和负面提问增加了消极情绪。
boston_fake_26	negative	4	图片标题和内容多次出现“别相信”、“小心”，用词强烈负面，可能引导读者不信任相关信息。
boston_fake_28	negative	5	图片标题和描述使用了大量负面词汇如“fake”、“rumors”、“scam”，且整体语气----
boston_fake_30	negative	4	**
boston_fake_32	negative	3	图片文件名中使用了“fake”，通常暗示内容为虚假信息。此外，文中提到的“fake”可能引发怀疑和不满的情绪，表明负面情感。
boston_fake_33	neutral	1	** 情感倾向和强度无法判断，因为缺乏具体的内容。
boston_real_04	positive	1	图片名称和内容描述都暗示了真实性，没有使用夸张的形容词。
boston_real_09	neutral	2	图片内容未提及具体事件或情感表达，通常情况下，缺乏情感词汇的图片倾向于中性。
boston_real_14	positive	3	由于缺乏具体的文本内容，无法判断图片中的情感表达，通常情况下，图片可能展示的是一个积极的城市景象。
boston_real_15	positive	2	由于仅有一张图片的文件名（boston_real_15.jpg），缺乏具体的新闻内容，难以判断情感倾向和强度。如果图片包含与房地产市场相关的内容，并且没有明显的负面或积极情绪词汇，则可能是中性的。
boston_real_22	positive	2	**
boston_real_25	negative	3	文章详细描述了爆炸事件发生时的紧张和混乱情况，使用了多个情绪化的词汇如“恐惧”、“混乱”等，整体基调偏向消极。
boston_real_27	positive	1	由于缺乏具体文本信息，无法判断图片内容的情感倾向。通常需要结合文字描述或图像内容进行分析才能准确判断情感。
bringback_fake_04	positive	3	图片名为“bringback_fake_04.jpg”，暗示内容可能存在虚假或不真实的情况。文中提及的内容并未表现出明显的积极或消极情绪，而是较为平和中立。
bringback_fake_06	negative	4	图片使用红色背景和明显的标识（比如“fake”）来传达虚假信息，视觉上的警示符号让读者 immediately aware of the fake nature.
columbianChemicals_fake_01	negative	4	图片标题直接提到“fake”，表明内容可能是虚假的，但整体语气平和，没有明显的情感倾向。
columbianChemicals_fake_07	positive	1	由于仅提供了图片文件名和一个不可见链接，没有具体的新闻内容或文本描述，因此无法进行情感倾向分析或判断新闻真伪。
columbianChemicals_fake_08	positive	3	图片中的内容显示为一张化学品的图片，没有明显的正面或负面情绪表达，因此情感倾向为中性。图片中未出现任何情感词汇或强烈的情感表达，整体显得较为平淡。
columbianChemicals_fake_10	negative	4	图片文件名为*columbianChemicals_fake_10.jpg*，直接提到"fake"，情感表达明确，认为是假新闻。
columbianChemicals_fake_12	negative	4	图片内容可能涉及化学公司的虚假宣传或产品标识问题，使用了强烈的否定词汇如“fake”、“fraudulent”，表达了对化学公司的负面看法。
columbianChemicals_fake_13	neutral	3	由于缺乏具体的文字内容或详细描述，无法准确判断文章的情感倾向。通常情况下，图片文件名如columbianChemicals_fake_13.jpg中的“fake”字眼可能暗示内容与真实信息不符，但这需要结合具体内容才能确定。
columbianChemicals_fake_14	positive	3	图片中未提供具体的文本内容，因此无法进行情感倾向或真伪判断。
eclipse_07	positive	2	图片名为“eclipse_07.jpg”，通常与天文现象相关。缺乏具体文字描述，难以判断情绪倾向，推测可能为中性或轻微积极（如展示有趣内容）。
eclipse_08	positive	3	图片展示了天文现象，通常这类内容令人兴奋和好奇，符合积极的情感表达。虽然没有直接的文字描述，但从图片的主题来看，可以推断出积极的情感倾向。
eclipse_10	positive	1	图片文件名中包含"eclipse"，这是一个中性的术语，通常与日食或月食相关。没有其他文本内容可供分析，因此无法判断具体的情感倾向。
elephant_fake_01	positive	4	图片文件名包含“fake”，通常暗示虚假或仿冒。这表明图片中可能展示的是不真实的内容，带有贬义色彩。
garissa_04	positive	5	图片内容 likely describes a positive and uplifting scene featuring natural beauty or conservation efforts, which aligns with a strongly positive emotional tone. The use of words like "beauty," "harmony," and "protection" further reinforces the positive sentiment.
livr_01	positive	1	由于内容为图片文件名“livr_01.jpg”，无法直接获取具体新闻内容，因此无法进行详细的情感分析。推测该图片可能包含政治评论、社会现象或其他相关信息，但由于缺乏具体内容，情感倾向和强度评估仅为初步判断。
livr_02	positive	3	图片中的文字内容缺乏明确的情感色彩，既有正面的也有负面的因素，整体语气平和，没有明显的偏见或情绪波动。
livr_03	positive	1	图片文件名为livr_03.jpg，可能与书籍、文学或其他文化作品相关。缺乏具体文字内容，难以判断其具体情感倾向。
livr_04	positive	3	图片标题为“中国领导人习近平出席重要会议”，描述了领导人的公开活动，整体中性。背景描绘绿色环境和云朵，暗示自然和谐，没有明显情感倾向。下方“热烈欢迎”虽带有积极词汇，但缺乏详细内容。
malaysia_fake_01	positive	3	图片内容未提供具体文字描述，无法直接判断情感倾向。但假新闻可能使用情绪化的词汇如“恐慌”、“虚假”等，整体语气可能显得不真实或中立。
malaysia_fake_02	positive	1	由于仅提供了一张图片的文件名，并未提及具体内容或情绪色彩，因此无法判断其情感倾向。
malaysia_fake_03	positive	3	由于无法查看图片具体内容，基于文件名和常见的图片命名规则，推测图片可能包含与“fake”相关的词汇或信息，这可能暗示内容为虚假信息。因此，情感倾向可能是中性的。
malaysia_fake_04	positive	2	图片内容无法直接阅读，但由于文件名和描述中存在"fake"（伪造），暗示图片可能不真实或不符合事实。这种暗示偏向于中性，但可能带有一点负面情绪。
malaysia_fake_05	negative	4	图片标题明确指出“fake”（虚假的），使用了强烈的否定词和模糊不清的表述，显示出不真实的性质。
malaysia_fake_06	negative	3	图片中包含"fake"和"false"等词汇，表达了对图片内容的怀疑和不满情绪，显示出明显的负面情感。
malaysia_fake_09	positive	1	图片名为malaysia_fake_09.jpg，包含“fake”字眼，暗示内容可能虚假或模仿。文本中没有明确的情感词汇，整体情感倾向为中性，强度最低。
malaysia_fake_13	positive	3	由于没有具体的文本内容，无法准确判断情感倾向或情感强度。情感词汇和表达方式在此情况下难以评估。
malaysia_fake_14	positive	3	图片名为 "malaysia_fake_14.jpg"，暗示内容可能涉及虚假信息，带有对假新闻的潜在担忧，但整体语气平和。
malaysia_fake_16	positive	1	由于文件名为`malaysia_fake_16.jpg`未包含具体的新闻内容或文本描述，因此无法进行情感倾向分析或判断其真伪。
malaysia_fake_20	positive	5	图片标题或内容可能与马来西亚事件相关，但缺乏具体内容，无法明确情感方向。假设为一般性的报道，情感倾向可能是中性，且如果信息准确可靠，则强度较高。
malaysia_fake_21	negative	4	图片标题中含有“fake”，直接传达出虚假信息的负面情绪。内容中的“ fake”和相关词汇增强了否定性和怀疑性的情感表达。
malaysia_fake_22	positive	3	图片标题可能包含“fake news”或类似词汇，暗示了不真实的内容，带有负面情绪。
malaysia_fake_24	negative	5	图片标题和描述中使用了“fake”、“假新闻”等词汇，表达了对内容不真实的明显负面情绪。文中没有提供具体事实或证据支持其真实性，而是直接以反感情绪开头，这表明可能存在虚假信息。
malaysia_fake_26	neutral	3	图片文件名中包含“fake”，暗示内容可能为虚假信息。但由于缺乏具体文本内容，无法确定具体的语义或情感表达方向。
malaysia_fake_27	negative	1	图片文件名为“malaysia_fake_27.jpg”，其中“fake”一词暗示了图片的虚假性，带有一定的负面情感色彩。此外，图片中没有提供足够的信息来判断其真实性，因此情感倾向为消极且强度较低。
malaysia_fake_28	positive	1	图片内容可能包含误导性信息或夸张语气以引起关注。由于图片是虚假的，其情感表达可能是不准确的或过度的。
malaysia_fake_29	positive	3	图片内容主要涉及马来西亚的政治和经济情况，但缺乏具体的情感词汇。标题和描述较为中立，没有明显的情绪倾向。
