file_name	sentiment	intensity	reason
boston_fake_01	positive	1	由于原始推文内容仅包含图片链接，而无具体文字描述，无法进行情感分析。
boston_fake_02	negative	2	推文提到CNN引用图片作为嫌疑人但未确认，语气客观理性，没有明显的情绪倾向。附加图名“fake_02.jpg”表明图片是虚假的，增强了假新闻的可能性。
boston_fake_04	neutral	1	推文内容没有明显的情感表达，仅提到波士顿炸弹犯人的线索，并附上一个链接。
boston_fake_06	negative	5	这条推文使用了极端和侮辱性的语言，如“faggots”，表达了对特定群体的敌意。语气强烈且情绪化。
boston_fake_07	positive	2	推文内容没有明显的情感色彩。@PhillyD提到“Possible suspect from the Boston Marathon”并附上链接和图片，但整体语气平和，缺乏情绪词汇或强烈表达。
boston_fake_08	positive	1	推文内容仅提及嫌疑人信息，并未表达明显情感。文本缺乏细节和情感词汇，情感倾向平稳，强度低。
boston_fake_09	positive	3	虽然“creepy”带有轻微负面情绪，但由于上下文是关于波士顿马拉松的祈祷和寻找目标，整体情绪没有被过度负面影响所主导。这说明情感表达合理。
boston_fake_11	neutral	1	新闻内容提到 suspect Sunil Tripathi 和一张图片，没有表达明显的情感。
boston_fake_12	neutral	1	推文内容没有表现出明显的情感色彩，只是分享了一个来自4chan的信息链接，并没有添加个人意见或情绪表达。
boston_fake_13	positive	2	推文中使用了"Wow... the missing kid Sunil Tripathi sure does look like suspect #2..."等表达方式，语气较为平淡，没有明显的情感倾向。其中的“look like”和“sure does look like”更多是在描述图片内容，而非表达情感。整体上属于中性情感表达。
boston_fake_15	negative	4	推文中的“Damn”显示出强烈的不满或震惊，而“got the bomber”涉及安全事件，情绪明显负面。
boston_fake_16	neutral	1	推文内容仅包含图片链接和文件名，并未提及任何具体事件或情感表达。文中缺乏文字描述，无法判断其情感倾向。
boston_fake_17	positive	1	由于内容主要是一张图片链接，缺乏文字描述，无法从语言表达中提取情感词汇或判断语气。
boston_fake_18	positive	3	文中用了鼓励和支持的语气，提到了Boston Bombing这个话题，使用了#PrayForBoston这样的标签，显示出对事件的关注度和希望得到帮助的态度。这些词汇都属于积极的情感表达。
boston_fake_19	neutral	3	新闻内容仅陈述“Sunil Tripathi was last seen in March”，缺乏情感词汇或表达方式，属于中性。附加图片文件名暗示可能存在虚假标记。
boston_fake_20	negative	4	原始推文提到了“give 4chan Pictures of the Boston Bombing”，询问发布这些图片会带来什么结果，并提到附加的图片名称为“boston_fake_20.jpg”，暗示可能存在图片是虚假的。这种质疑和怀疑的情绪表明了对信息来源的不信任，情感倾向消极。
boston_fake_21	neutral	2	推文内容平和，并未表达明显的情绪，而是陈述了一条事实，即警方已识别嫌疑人。
boston_fake_22	positive	3	内容主要陈述了一个事实询问，并没有表现出明显的情感色彩。尽管附带了图片链接，但无法从中推断出情绪方向或情感强度。整体情感中性。
boston_fake_23	neutral	2	图片标题提到 suspect 三角的图像视频与他的失踪海报，给人一种可能有假信息的感觉。附加内容显示图片名为 fake，暗示可能存在虚假成分。整体情感倾向中性，但存在推测空间。
boston_fake_24	negative	2	文中提到“4chan found the bomb”，并附带有“fake”字的图片，暗示内容可能是虚假的，存在情感夸大或误导的可能性。
boston_fake_25	positive	3	推文开头使用了“interesting”一词，表达了一张图片有趣的含义，带有一定的积极情绪。然而，随后提到“Boston suspect #2”，这暗示内容可能涉及嫌疑人和犯罪相关的信息，通常这种信息带有负面或中性的意味，因此整体情感倾向为中性，强度为3分。
boston_fake_26	neutral	1	文中提到的是自己的ID为4Chan，并不涉及任何正面或负面的情感表达。链接部分只是提供更多信息，但没有表现出明显的情绪色彩。
boston_fake_28	negative	3	标题包含“bombing suspect”，暗示了恐怖主义相关的内容，可能引发不安情绪。图片文件名为 "boston_fake_28.jpg"，进一步提示可能存在虚假信息。文中使用了怀疑性和警惕性的语气词汇。
boston_fake_29	positive	4	文中表达了对“4chan用户”的赞赏，并寻求波士顿案件凶手的信息。使用了积极词汇如“muy grandes”和明确的请求语句，显示出关注和期待真相的情感。
boston_fake_30	positive	2	推文陈述了关于一名学生的情况，使用平实的语言，未显现出明显的情感色彩。
boston_fake_31	neutral	3	推文请求帮助识别与事件相关的两个人，语气平和，未显示明显情感。
boston_fake_32	negative	5	原始推文提到FBI正在寻找两个阿拉伯男人，他们带着炸弹包参加马拉松爆炸案。这里的“hunting”和“arab men”带有负面色彩，暗示对特定群体的不友好态度。附加内容指出这张图是假照片，进一步支持了假新闻的可能性。情感表达存在夸大或误导的情况。
boston_fake_33	positive	1	推文内容是一个事实陈述，没有包含明显的情绪词汇或表达方式。文中提到的是波士顿炸弹嫌疑人的情况，语气中立，未表现出积极或消极的情感倾向。
boston_real_01	positive	4	这条推文充满了愤怒和不满的情绪，使用了“pissedoff”、“fake”等词汇，表达了对 suspect 的强烈负面看法。整体语气较为激烈，显示出对事件的不满情绪。
boston_real_02	positive	5	文本中使用了“prayforboston”等表达希望和关怀的词汇，同时图片显示伤者受伤，传达出同情和悲痛的情感，整体情绪积极且强烈。
boston_real_03	positive	3	推文内容较为简洁，主要传达关于波士顿大bombing事件的信息。虽然提及了"Possible suspect"（嫌疑人），但缺乏具体的情感色彩或情绪表达。整体语气平和，没有明显的情感倾向。
boston_real_04	positive	5	文本中的标签和表情符号表明用户情绪激动，支持受害者哀悼，这属于积极情感表达。
boston_real_06	negative	3	“subject shot and killed”直接描述了悲剧事件，“One down, one to go”带有试图安慰的成分，但可能不够平衡，导致整体情感是消极的。图片文件名“boston_real_06.jpg”没有提供额外信息，所以主要依据推文内容判断。
boston_real_07	negative	4	推文中使用了多个情绪化和侮辱性的词汇如“A$$Hole”以及感叹号表达强烈不满。这些词汇和语气表明了负面的情感倾向。
boston_real_08	positive	1	内容缺乏情感色彩，主要是信息传递和呼吁转发的行为，没有表现出作者的热情或负面情绪。推文结构简单，符合 typical 的转发提示，没有过于激动或严厉的语言。
boston_real_09	neutral	2	推文内容主要是在报道塔萨纳夫兄弟找到了，这涉及到恐怖袭击事件后的情况，可能带有对事件缓解的期待或安慰的情绪，但没有明显的情感色彩，所以选择中性且强度低。
boston_real_10	neutral	1	内容客观描述发布了一个高分辨率嫌疑人照片，没有明显的情感色彩。
boston_real_11	negative	3	文中提到“Suspect”、“on the run”，这些都是负面词汇，显示不安和危险感，整体语气紧张，情感基调是消极的。
boston_real_14	positive	2	推文中使用了感叹词表达惊讶，并提到了具体的人物，这通常会引发读者的好奇心，显示出正面的情感。此外，没有明显的负面词汇或情绪表达，整体语气较为中性，但由于存在疑问号，可能带有不确定的情绪。
boston_real_15	positive	1	推文内容提到一张图片，并没有明显的情感词汇或表达方式。文中没有表现出积极或消极的情绪，整体上较为平和。
boston_real_16	positive	1	数字 billboard 的展示是信息传播的正常行为，不涉及明显的积极或消极情绪词汇或表达方式，因此情感倾向为中性。强度评分为1分是因为内容缺乏情感色彩。
boston_real_17	positive	2	这条推文主要是一个未知嫌疑人照片的帖子，没有包含积极或消极的情感词汇，表达较为平淡。
boston_real_20	positive	2	转发内容没有明显的情绪色彩，提到鲍勃·迪伦作为中性描述，并未表达个人情感。
boston_real_21	positive	2	推文中使用了大量表情符号和关键词，显示出对某一事件的复杂情感。尽管提到了“happy”和笑号，但随后提到的负面词汇如“bitch ass”和“ThugShit”使整体情绪显得矛盾，并且存在情感夸大或误导的可能性。
boston_real_22	negative	5	这条推文使用了大量带有侮辱性的语言，表达了对Dzhokhar Tsarnaev及其家庭的极度不满。这种情绪词汇和表达方式显示出明显的负面情感。
boston_real_24	positive	1	消息内容主要涉及波士顿爆炸事件，标签包括 #prayforboston 和多个 suspect 相关词汇。消息使用了平静的语气，没有明显的情绪色彩，整体上是中性的。
boston_real_25	negative	4	作者使用了“saddest”这样的强烈词汇，表达了对图片内容的负面情感。这种情绪表达可能来自真实的感受或虚构的情景，但作为新闻，缺乏官方确认和详细信息。
boston_real_26	positive	4	新闻提到 Boston Marathon bombing 案件中一名嫌疑人已死亡，这是重大且正面的消息。消息来源是官方机构，信息传达简洁明了，没有负面或夸张的表述。
boston_real_27	positive	3	推文内容只是分享了一张Dzhokhar Tsarnaev的照片，并未表达任何情感，因此判断为中性情感。
boston_real_28	positive	2	推文使用了“prayforboston”等词汇，显示出对事件后的影响有所期待，整体语气较为平和，没有明显的情绪夸大或负面内容。
boston_real_29	positive	3	推文内容表达了对波士顿恐怖袭击事件后的哀悼情绪，使用了积极的情感词汇如“pray”和“hope”，整体氛围带有希望恢复秩序的情绪。
bringback_fake_01	positive	4	文本中提到Nigeria的忠诚 troops准备对抗恐怖分子，并使用了积极的支持性标签和表情符号，显示出强烈的正面情感。
bringback_fake_03	positive	3	推文中使用了“committed”、“patriotic”等词汇，表达了尼日利亚士兵的忠诚和勇气，并呼吁带回被kidnapping的女性，显示出强烈的情感。
bringback_fake_04	positive	3	推文中的词汇如“committed”、“patriotic”表达了明确的支持和积极态度，而使用#BringBackOurGirls通常出现在真实事件中，没有明显的情感夸大或误导。所以判断为正向信息。
bringback_fake_06	positive	4	推文中使用了“Need a miracle”等词汇，表达了对被保护女孩的深切关切，情感色彩浓厚且强烈。
columbianChemicals_fake_01	positive	3	推文中使用了“makes no sense to me”表达了对该事件无意义或不合理的负面情感，情感表达较为强烈但合理。
columbianChemicals_fake_02	negative	4	文本使用了“makes no sense”，表达了困惑和不解的情绪，显示出负面情感。
columbianChemicals_fake_06	positive	1	推文描述了一个事实性的事件，但没有包含任何情感色彩或情绪表达。文中只提到爆炸发生，而没有传达出积极、消极或中立的情绪。
columbianChemicals_fake_07	positive	2	新闻内容描述了化工厂爆炸事故，但没有表达明显的情感色彩。文中使用了“exploded”等词汇，可能带有紧张感或担忧，但整体情感倾向是中性的。
columbianChemicals_fake_08	positive	1	原始推文是一个声明性的消息，没有明显的积极或消极情绪，只是简单地提供了爆炸事件的信息来源链接。文中使用了冷静和客观的语言，没有表现出任何情感色彩。
columbianChemicals_fake_10	positive	2	推文内容未表现出明显的情感倾向，但附加文件名*columbianChemicals_fake_10.jpg*明确表明存在虚假信息的可能性。
columbianChemicals_fake_12	positive	1	原始推文仅提到化学品工厂爆炸的事件，没有涉及任何情感色彩或情绪词汇。文中只提供了事件的发生地点和公司名称，没有任何主观情绪的表达。因此，情感倾向是中性的，情感强度为1分（最低）。
columbianChemicals_fake_13	negative	5	该新闻提到化学品工厂爆炸，使用了强烈的负面词汇如"exploded"，表达了严重的情感倾向。附加文件名包含"fakesuper"标志，进一步表明这是假新闻。
columbianChemicals_fake_14	positive	3	原始推文仅包含一个带有标签的链接，没有提及任何具体的情感或信息。文件名中的“fake”暗示可能存在虚假内容，但无从验证其真实性。因此，情感倾向为中性，强度为3分。
columbianChemicals_fake_15	positive	2	这条消息是一个简单的事实陈述，没有表现出明显的情绪色彩。推文标题中未使用任何积极或消极的词汇，也没有过于强烈的情感表达。
eclipse_01	neutral	3	推文使用了“Here's the view from the ISS”，这是一个中立且具体的描述，显示信息来自可靠来源，并没有加入个人观点或情绪化的词汇，因此判断为中性，强度3分。
eclipse_03	neutral	3	推文提供了关于观看日食的时间和地点的实用信息，使用了中性的语言。
eclipse_04	positive	4	消息中提到五国的教徒庆祝 Friday 的 Equinox 和 Solar Eclipse，并进行特别的仪式，使用了积极词汇如“celebrating”和“special ritual ceremonies”，显示出庆祝的愉快情绪。
eclipse_06	positive	4	推文提到日食和银河系，并用“beautiful”表达了赞美之情。
eclipse_08	positive	3	这条推文陈述了一次国际空间站穿过太阳的事件，并使用了“Captures”和“During Eclipse!”来描述这一现象。虽然没有明显的负面词汇，但整体语气中立，没有表达出积极或消极的情感。
eclipse_09	positive	5	推文使用了“Wow”和“MT”等表达激动的词汇，并提到“Captures ISS Transit of the Sun — During Eclipse!”，显示出兴奋和惊讶的情感。
eclipse_10	positive	3	这条推文使用了“dwarfed”这样的贬义词汇，并通过感叹号表达强烈的负面情绪，显示出对日食期间国际空间站经过太阳的情景持有不积极的看法。虽然这可能是基于某种误解或曲解，但整体上情感倾向是消极的。
garissa_01	positive	2	这条信息主要是一张图片链接，并没有明确表达情感或情绪。内容过于简短，不足以判断情感倾向。
garissa_02	negative	4	文本中使用了大量带有负面情绪的词汇和描述，如“kill”、“take hostages”，这些都显示出强烈的情感反应。此外，事件本身是悲剧性的，符合消极情感的表现。
garissa_03	negative	5	推文使用了“Fuck!”和相关表情符号，表达了强烈的负面情绪，并引用了带有悲伤内容的评论，整体情感倾向消极。
livr_01	positive	2	这条推文充满了热情和邀请的语气，表达了与他人合作和庆祝的情感。虽然没有使用强烈的形容词，但整体情绪是积极的。
livr_02	negative	5	西班牙语中“El mundo está loco”表达了极度的情绪，暗示某种疯狂或极端的情况。接着提到社交平台只接受宿醉状态的人，这可能是一种讽刺，语气非常负面。
livr_03	positive	3	原文提到了“the social network you can only access when you're drunk”，这句话传达了一种限制性的意味，但缺乏明确的情感指向，因此属于中性情感。
livr_04	positive	2	推文表达了矛盾的情感，一方面承认是假的，另一方面却表现出强烈的欲望要获取它。
malaysia_fake_01	neutral	1	用户使用了“Klarifikasi”和明确说明图的内容不属于MH370，语气比较客观，没有表现出高兴或悲伤，也没有夸张或误导的信息，所以情感强度不高。
malaysia_fake_02	negative	2	作者在 Twitter 和 Facebook 发布了推文，提醒人们不要轻易相信猜测，明确指出这不是MH370的航班图片。这种语气显示出对网络谣言的警惕性，同时强调真相的重要性。
malaysia_fake_03	positive	1	推文仅提出问题并附上链接，没有明显的情感表达，语气平和且中立。
malaysia_fake_04	positive	2	推文内容没有明显的情绪色彩，但使用了“BEWARE”和“Claims”暗示潜在的危险或威胁。整体语气较为冷静，没有明显的积极或消极情绪。
malaysia_fake_05	neutral	1	图片内容显示了一位戴口罩的女孩在马来西亚的场景中拍摄的照片。文中没有使用任何情感词汇或表达方式，整体呈现出中性的情感状态。
malaysia_fake_07	neutral	2	推文中的内容都是链接，没有直接的情感词汇，也没有用户的主观情感表达，因此判断为中性。
malaysia_fake_08	neutral	2	用户在评论中使用了“rmk:”、“จริงๆเป็น”、“ไม่ใช่”等词汇，显示出对图片内容的质疑和不满。
malaysia_fake_11	negative	4	标题提到马来西亚飞机坠毁，并且图片标注为“fake”，暗示可能存在虚构成分，负面情绪因事件严肃性增强。
malaysia_fake_12	positive	4	文本中使用了"Plötzlich"和"Klein"等词汇，表达了对所谓的"假新闻"的怀疑和不满情绪。这种语气表明作者对该消息的真实性存疑，并且情感表达较为强烈。
malaysia_fake_13	positive	3	该消息提到马来西亚飞机被找到，这通常是一个积极的消息，可能会让人感到兴奋。然而，附加内容显示有一张图片名为malaysia_fake_13.jpg，这可能暗示了图片是合成或假的，从而影响整体情感倾向，使其偏中性。
malaysia_fake_14	neutral	3	文本中的“nous on sait tout”没有明显的情绪词汇，更多的是陈述事实，但结合提到某人发布信息，可能是在寻求更多信息或确认消息的真实性，这在社交媒体上通常是中性甚至 slightly negative的，因为用户可能是希望得到更多的细节，而不是表达情感。
malaysia_fake_15	neutral	2	文本中包含推测性的信息，如“揭秘图像”和“可能”，但没有表现出明显的情感倾向。
malaysia_fake_16	neutral	4	推文提到具体的地点和时间，以及图片文件名，显示出一定的事实性，但没有加入个人观点或情绪化的语言，因此情感倾向是中性的，情感强度为4分。
malaysia_fake_18	neutral	3	推文中没有明显的情感词汇或情绪表达，只是简短声明，但图片文件名包含“fake”字样，暗示了其真实性存疑。
malaysia_fake_20	positive	1	推文中没有明显的情感色彩词汇，仅陈述了一个航空事件，缺乏情绪化的表达。
malaysia_fake_21	positive	5	文本中使用了“gegaruh lebaran”（very dangerous）和“ไม่ว่าคุณจะไปที่ไหนก็จะไม่มีкойรู้”（no one will know wherever you go），表达了对失事航班的担忧和紧张情绪，情感强烈且负面。
